id,model,category,temperature,setup,punchline,predicted_punchline,punchline_overlap_with_setup,prediction_accuracy,surprise_score,success
gpt4o_linguistic_t0.5_0,gpt4o,linguistic,0.5,Why did the quantum computer refuse to have breakfast?,Because it couldn't decide between cereal and parallel!,Because it couldn't decide between super-poached and toast entanglement.,0.0,0.5454545454545454,0.4545454545454546,True
gpt4o_linguistic_t0.5_1,gpt4o,linguistic,0.5,Why did the philosopher start folding paper?,"He wanted to explore the meaning of ""crease-istence.""",Because he wanted to explore the concept of origami-nal thought.,0.125,0.5,0.5,True
gpt4o_linguistic_t0.5_2,gpt4o,linguistic,0.5,Why did the writer break up with the semicolon?,Because it just couldn't commit to a full stop!,Because it was too clingy and kept holding on longer than necessary.,0.0,0.10526315789473684,0.8947368421052632,True
gpt4o_linguistic_t0.5_3,gpt4o,linguistic,0.5,Why did the gardener start investing in cryptocurrency?,"Because he heard it was a great way to grow his ""root"" portfolio!",Because he heard it was the best way to grow his green!,0.0,0.5625,0.4375,True
gpt4o_linguistic_t0.5_4,gpt4o,linguistic,0.5,Why did the asteroid become a grammar teacher?,It wanted to teach everyone about conjunctions in space!,Because it had a knack for breaking up run-on sentences!,0.0,0.05555555555555555,0.9444444444444444,True
gpt4o_linguistic_t0.7_0,gpt4o,linguistic,0.7,Why did the quantum computer refuse to attend breakfast meetings?,Because it couldn't decide between eggs and superposition toast!,Because it couldn't decide if it was there or not.,0.0,0.2857142857142857,0.7142857142857143,True
gpt4o_linguistic_t0.7_1,gpt4o,linguistic,0.7,Why did the philosopher enroll in an origami class?,He wanted to unfold the meaning of life!,To fold his thoughts into something meaningful.,0.125,0.07142857142857142,0.9285714285714286,True
gpt4o_physical_t0.5_0,gpt4o,physical,0.5,"While organizing the filing cabinet, Jane decided to alphabetize the folders by tossing them in the air and catching them in order.","She ended up with a paper cut so precise, it filed itself under ""P"" for ""painful precision.""","Turns out, she was more of an abstract organizer.",0.0,0.04,0.96,True
gpt4o_physical_t0.5_1,gpt4o,physical,0.5,"Trying to fold a fitted sheet for the first time, I ended up wrestling it like an octopus in a tangle.",I lost the match and now the sheet is the bed's new abstract art installation.,"And in the end, I think the sheet won on points.",0.23076923076923078,0.21052631578947367,0.7894736842105263,True
gpt4o_physical_t0.5_2,gpt4o,physical,0.5,"While assembling a bookshelf, Dave followed the confusing instructions and ended up with a plank in hand, a screw in his mouth, and a shelf on his foot.",He finally built a new appreciation for pre-assembled furniture.,"Looks like he nailed it, just not where he intended!",0.1111111111111111,0.058823529411764705,0.9411764705882353,True
gpt4o_physical_t0.5_3,gpt4o,physical,0.5,Why did the scientist install a standing desk upside down?,Because they wanted to see if gravity could help with their writer's block!,Because they wanted to get a new perspective on gravity!,0.0,0.21052631578947367,0.7894736842105263,True
