joke_id,joke_category,joke_generator,explaining_model,semantic_count,has_semantic,embodied_count,has_embodied,social_count,has_social,threat_count,has_threat
gpt4o_linguistic_t0.5_0,linguistic,gpt4o,gpt4o,5,True,0,False,3,True,4,True
gpt4o_linguistic_t0.5_0,linguistic,gpt4o,claude,4,True,0,False,2,True,2,True
gpt4o_linguistic_t0.5_0,linguistic,gpt4o,gemini,2,True,0,False,2,True,1,True
gpt4o_linguistic_t0.5_1,linguistic,gpt4o,gpt4o,4,True,1,True,2,True,2,True
gpt4o_linguistic_t0.5_1,linguistic,gpt4o,claude,3,True,1,True,2,True,2,True
gpt4o_linguistic_t0.5_1,linguistic,gpt4o,gemini,4,True,0,False,3,True,2,True
gpt4o_linguistic_t0.5_2,linguistic,gpt4o,gpt4o,3,True,0,False,2,True,2,True
gpt4o_linguistic_t0.5_2,linguistic,gpt4o,claude,4,True,0,False,2,True,2,True
gpt4o_linguistic_t0.5_2,linguistic,gpt4o,gemini,4,True,0,False,3,True,2,True
gpt4o_linguistic_t0.5_3,linguistic,gpt4o,gpt4o,4,True,0,False,2,True,3,True
gpt4o_linguistic_t0.5_3,linguistic,gpt4o,claude,2,True,0,False,3,True,3,True
gpt4o_linguistic_t0.5_3,linguistic,gpt4o,gemini,4,True,0,False,1,True,2,True
gpt4o_linguistic_t0.5_4,linguistic,gpt4o,gpt4o,3,True,1,True,2,True,3,True
gpt4o_linguistic_t0.5_4,linguistic,gpt4o,claude,4,True,1,True,1,True,3,True
gpt4o_linguistic_t0.5_4,linguistic,gpt4o,gemini,3,True,0,False,2,True,3,True
gpt4o_linguistic_t0.7_0,linguistic,gpt4o,gpt4o,2,True,0,False,2,True,3,True
gpt4o_linguistic_t0.7_0,linguistic,gpt4o,claude,1,True,0,False,1,True,1,True
gpt4o_linguistic_t0.7_0,linguistic,gpt4o,gemini,2,True,0,False,2,True,2,True
gpt4o_linguistic_t0.7_1,linguistic,gpt4o,gpt4o,3,True,0,False,3,True,0,False
gpt4o_linguistic_t0.7_1,linguistic,gpt4o,claude,4,True,0,False,1,True,1,True
gpt4o_linguistic_t0.7_1,linguistic,gpt4o,gemini,2,True,1,True,2,True,2,True
gpt4o_linguistic_t0.7_2,linguistic,gpt4o,gpt4o,2,True,0,False,2,True,3,True
gpt4o_linguistic_t0.7_2,linguistic,gpt4o,claude,3,True,0,False,1,True,1,True
gpt4o_linguistic_t0.7_2,linguistic,gpt4o,gemini,2,True,0,False,2,True,2,True
